dataset,days,ncol,nrow,config_train,alg,score,t_run_s, t_fitted,nfrostorig,ntrain,nfrostsmote,var,RMSE,r2,Sensitivity,Acc,Precision,Specificity
dacc-temp,2,35,5516,smote,local,ignore,0,0.002,567,4819,2268,las_paredes.temp_min_t,3.05,0.81,0.71,0.9,0.72,0.94
dacc-spring,4,121,1826,smote,local,ignore,0,0.005,348,2958,1392,tunuyan.temp_min_t,3.03,0.7,0.67,0.87,0.81,0.94
dacc-temp,2,35,5516,smote,local,ignore,0,0.002,698,5933,2792,la_llave.temp_min_t,3.2,0.82,0.78,0.89,0.75,0.93
dacc-spring,4,121,1826,smote,local,ignore,0,0.003,163,1385,652,agua_amarga.temp_min_t,2.58,0.72,0.44,0.92,0.62,0.97
dacc-spring,4,121,1826,smote,local,ignore,0,0.003,217,1844,868,las_paredes.temp_min_t,2.97,0.69,0.64,0.9,0.61,0.94
dacc-temp,3,50,5515,smote,local,ignore,0,0.002,390,3315,1560,junin.temp_min_t,2.23,0.89,0.72,0.94,0.75,0.97
dacc-spring,4,121,1826,smote,local,ignore,0,0.003,243,2065,972,la_llave.temp_min_t,3.26,0.69,0.73,0.9,0.7,0.94
dacc,2,65,5516,smote,local,ignore,0,0.187,1057,8984,4228,tunuyan.temp_min_t,2.74,0.86,0.83,0.9,0.86,0.94
dacc-spring,5,150,1825,smote,local,ignore,0,0.003,119,1011,476,junin.temp_min_t,2.3,0.8,0.48,0.94,0.65,0.98
dacc,2,65,5516,smote,local,ignore,0,0.003,496,4216,1984,agua_amarga.temp_min_t,2.28,0.87,0.58,0.91,0.75,0.97
dacc-spring,5,150,1825,smote,local,ignore,0,0.006,348,2958,1392,tunuyan.temp_min_t,3.09,0.69,0.66,0.87,0.81,0.94
dacc-temp,3,50,5515,smote,local,ignore,0,0.007,1057,8984,4228,tunuyan.temp_min_t,2.9,0.84,0.81,0.89,0.83,0.93
dacc-spring,5,150,1825,smote,local,ignore,0,0.004,163,1385,652,agua_amarga.temp_min_t,2.64,0.71,0.44,0.91,0.52,0.96
dacc,2,65,5516,smote,local,ignore,0,0.003,567,4819,2268,las_paredes.temp_min_t,2.85,0.83,0.67,0.9,0.78,0.96
dacc-temp,3,50,5515,smote,local,ignore,0,0.002,496,4216,1984,agua_amarga.temp_min_t,2.33,0.87,0.67,0.92,0.73,0.96
dacc-spring,5,150,1825,smote,local,ignore,0,0.004,217,1844,868,las_paredes.temp_min_t,2.96,0.69,0.66,0.9,0.6,0.93
dacc-temp,3,50,5515,smote,local,ignore,0,0.002,567,4819,2268,las_paredes.temp_min_t,3.03,0.81,0.72,0.9,0.71,0.93
dacc-spring,5,150,1825,smote,local,ignore,0,0.005,243,2065,972,la_llave.temp_min_t,3.27,0.68,0.69,0.89,0.69,0.93
dacc,2,65,5516,smote,local,ignore,0,0.003,698,5933,2792,la_llave.temp_min_t,2.93,0.85,0.79,0.9,0.76,0.93
dacc-temp,3,50,5515,smote,local,ignore,0,0.003,698,5933,2792,la_llave.temp_min_t,3.17,0.83,0.79,0.89,0.74,0.92
dacc-temp,4,65,5514,smote,local,ignore,0,0.002,390,3315,1560,junin.temp_min_t,2.2,0.89,0.73,0.94,0.77,0.97
dacc,3,95,5515,smote,local,ignore,0,0.004,390,3315,1560,junin.temp_min_t,2.01,0.91,0.66,0.94,0.83,0.98
dacc-temp,4,65,5514,smote,local,ignore,0,0.005,1057,8984,4228,tunuyan.temp_min_t,2.91,0.84,0.81,0.89,0.82,0.92
dacc-temp,4,65,5514,smote,local,ignore,0,0.003,496,4216,1984,agua_amarga.temp_min_t,2.32,0.87,0.67,0.92,0.74,0.96
dacc,3,95,5515,smote,local,ignore,0,0.008,1057,8984,4228,tunuyan.temp_min_t,2.7,0.86,0.84,0.91,0.86,0.94
dacc-temp,4,65,5514,smote,local,ignore,0,0.003,567,4819,2268,las_paredes.temp_min_t,3.01,0.82,0.73,0.9,0.72,0.94
dacc,3,95,5515,smote,local,ignore,0,0.004,496,4216,1984,agua_amarga.temp_min_t,2.22,0.88,0.62,0.92,0.75,0.96
dacc-temp,4,65,5514,smote,local,ignore,0,0.003,698,5933,2792,la_llave.temp_min_t,3.16,0.83,0.78,0.89,0.74,0.92
dacc-temp,5,80,5513,smote,local,ignore,0,0.003,390,3315,1560,junin.temp_min_t,2.23,0.89,0.74,0.94,0.78,0.97
dacc,3,95,5515,smote,local,ignore,0,0.006,567,4819,2268,las_paredes.temp_min_t,2.82,0.83,0.67,0.9,0.77,0.96
dacc,3,95,5515,smote,local,ignore,0,0.005,698,5933,2792,la_llave.temp_min_t,2.89,0.85,0.8,0.9,0.77,0.93
dacc-temp,5,80,5513,smote,local,ignore,0,0.006,1057,8984,4228,tunuyan.temp_min_t,2.89,0.84,0.81,0.89,0.83,0.93
dacc-temp,5,80,5513,smote,local,ignore,0,0.003,496,4216,1984,agua_amarga.temp_min_t,2.33,0.87,0.66,0.92,0.74,0.96
dacc,4,125,5514,smote,local,ignore,0,0.005,390,3315,1560,junin.temp_min_t,2.01,0.91,0.71,0.94,0.81,0.98
dacc-temp,5,80,5513,smote,local,ignore,0,0.004,567,4819,2268,las_paredes.temp_min_t,3.01,0.82,0.74,0.9,0.73,0.94
dacc-temp,5,80,5513,smote,local,ignore,0,0.004,698,5933,2792,la_llave.temp_min_t,3.14,0.83,0.8,0.89,0.74,0.92
dacc,4,125,5514,smote,local,ignore,0,0.177,1057,8984,4228,tunuyan.temp_min_t,2.68,0.86,0.84,0.91,0.86,0.94
dacc,4,125,5514,smote,local,ignore,0,0.005,496,4216,1984,agua_amarga.temp_min_t,2.23,0.88,0.64,0.92,0.76,0.96
dacc,4,125,5514,smote,local,ignore,0,0.006,567,4819,2268,las_paredes.temp_min_t,2.81,0.84,0.73,0.91,0.75,0.95
