dataset,days,ncol,nrow,config_train,alg,score,t_run_s, t_fitted,nfrostorig,ntrain,nfrostsmote,var,RMSE,r2,Sensitivity,Acc,Precision,Specificity
dacc-spring,1,34,1829,smote,hc,loglik-g,12.137,0.041,242,2057,968,la_llave.temp_min_t,3.72,0.66,0.74,0.86,0.59,0.89
dacc-spring,1,34,1829,normal,hc,aic-g,3.98,0.022,NA,1243,NA,junin.temp_min_t,2.39,0.78,0.51,0.94,0.63,0.98
dacc-spring,1,34,1829,normal,hc,aic-g,3.98,0.022,NA,1243,NA,tunuyan.temp_min_t,3.09,0.69,0.65,0.87,0.81,0.94
dacc-spring,1,34,1829,normal,hc,aic-g,3.98,0.022,NA,1243,NA,agua_amarga.temp_min_t,2.45,0.75,0.53,0.92,0.57,0.96
dacc-spring,1,34,1829,normal,hc,aic-g,3.98,0.022,NA,1243,NA,las_paredes.temp_min_t,2.87,0.69,0.5,0.9,0.66,0.96
dacc-spring,1,34,1829,normal,hc,aic-g,3.98,0.022,NA,1243,NA,la_llave.temp_min_t,3.34,0.66,0.59,0.88,0.7,0.95
dacc-spring,1,34,1829,smote,hc,aic-g,3.42,0.016,118,1003,472,junin.temp_min_t,2.32,0.79,0.33,0.93,0.56,0.98
dacc,1,35,5517,smote,hc,bic-g,19.634,0.066,698,5933,2792,la_llave.temp_min_t,3.02,0.84,0.81,0.9,0.75,0.92
dacc-spring,1,34,1829,smote,hc,aic-g,12.043,0.042,348,2958,1392,tunuyan.temp_min_t,3.16,0.68,0.69,0.87,0.8,0.94
dacc-spring,1,34,1829,smote,hc,aic-g,4.663,0.019,163,1385,652,agua_amarga.temp_min_t,2.87,0.72,0.6,0.9,0.49,0.94
dacc-spring,1,34,1829,smote,hc,aic-g,6.821,0.025,216,1836,864,las_paredes.temp_min_t,3.26,0.67,0.72,0.89,0.56,0.91
dacc-temp,1,20,5517,smote,hc,bge,42.767,0.041,1057,8984,4228,tunuyan.temp_min_t,2.82,0.85,0.82,0.89,0.84,0.93
dacc-spring,1,34,1829,smote,hc,aic-g,7.616,0.028,242,2057,968,la_llave.temp_min_t,3.43,0.67,0.7,0.88,0.65,0.92
dacc,1,35,5517,normal,hc,loglik-g,24.895,0.08,NA,3751,NA,junin.temp_min_t,2.04,0.91,0.57,0.94,0.88,0.99
dacc,1,35,5517,normal,hc,loglik-g,24.895,0.08,NA,3751,NA,tunuyan.temp_min_t,2.76,0.86,0.76,0.9,0.89,0.96
dacc,1,35,5517,normal,hc,loglik-g,24.895,0.08,NA,3751,NA,agua_amarga.temp_min_t,2.08,0.89,0.62,0.92,0.77,0.97
dacc,1,35,5517,normal,hc,loglik-g,24.895,0.08,NA,3751,NA,las_paredes.temp_min_t,2.75,0.84,0.61,0.9,0.81,0.97
dacc,1,35,5517,normal,hc,loglik-g,24.895,0.08,NA,3751,NA,la_llave.temp_min_t,2.93,0.85,0.73,0.9,0.8,0.95
dacc-temp,1,20,5517,smote,hc,bge,17.251,0.016,496,4216,1984,agua_amarga.temp_min_t,2.26,0.88,0.79,0.93,0.73,0.95
dacc,1,35,5517,smote,hc,loglik-g,22.989,0.068,390,3315,1560,junin.temp_min_t,2.07,0.91,0.66,0.93,0.79,0.97
dacc-temp,1,20,5517,smote,hc,bge,15.388,0.016,567,4819,2268,las_paredes.temp_min_t,2.95,0.83,0.75,0.9,0.72,0.94
dacc-spring,1,34,1829,normal,hc,bge,32.075,0.014,NA,1243,NA,junin.temp_min_t,2.4,0.78,0.47,0.94,0.67,0.98
dacc-spring,1,34,1829,normal,hc,bge,32.075,0.014,NA,1243,NA,tunuyan.temp_min_t,3.21,0.66,0.58,0.85,0.81,0.95
dacc-spring,1,34,1829,normal,hc,bge,32.075,0.014,NA,1243,NA,agua_amarga.temp_min_t,2.45,0.75,0.53,0.92,0.57,0.96
dacc-spring,1,34,1829,normal,hc,bge,32.075,0.014,NA,1243,NA,las_paredes.temp_min_t,2.83,0.7,0.47,0.9,0.71,0.97
dacc-spring,1,34,1829,normal,hc,bge,32.075,0.014,NA,1243,NA,la_llave.temp_min_t,3.39,0.66,0.59,0.87,0.65,0.93
dacc-spring,1,34,1829,smote,hc,bge,25.237,0.011,118,1003,472,junin.temp_min_t,2.41,0.78,0.47,0.94,0.59,0.97
dacc-temp,1,20,5517,smote,hc,bge,29.556,0.022,698,5933,2792,la_llave.temp_min_t,3.1,0.83,0.8,0.9,0.75,0.92
dacc-temp,1,20,5517,normal,tabu,bic-g,1.257,0.012,NA,3751,NA,junin.temp_min_t,2.17,0.9,0.55,0.93,0.84,0.99
dacc-temp,1,20,5517,normal,tabu,bic-g,1.257,0.012,NA,3751,NA,tunuyan.temp_min_t,2.86,0.85,0.76,0.88,0.85,0.94
dacc-temp,1,20,5517,normal,tabu,bic-g,1.257,0.012,NA,3751,NA,agua_amarga.temp_min_t,2.22,0.88,0.65,0.93,0.8,0.97
dacc-temp,1,20,5517,normal,tabu,bic-g,1.257,0.012,NA,3751,NA,las_paredes.temp_min_t,2.93,0.82,0.63,0.91,0.82,0.97
dacc-temp,1,20,5517,normal,tabu,bic-g,1.257,0.012,NA,3751,NA,la_llave.temp_min_t,3.09,0.83,0.66,0.89,0.8,0.95
dacc-temp,1,20,5517,smote,tabu,bic-g,1.136,0.011,390,3315,1560,junin.temp_min_t,2.18,0.9,0.72,0.94,0.75,0.97
dacc-temp,1,20,5517,smote,tabu,bic-g,3.188,0.035,1057,8984,4228,tunuyan.temp_min_t,2.82,0.85,0.82,0.9,0.84,0.93
dacc-temp,1,20,5517,smote,tabu,bic-g,1.6,0.014,496,4216,1984,agua_amarga.temp_min_t,2.38,0.87,0.73,0.91,0.69,0.95
dacc-temp,1,20,5517,smote,tabu,bic-g,1.853,0.016,567,4819,2268,las_paredes.temp_min_t,2.98,0.82,0.75,0.9,0.72,0.93
dacc-temp,1,20,5517,smote,tabu,bic-g,2.341,0.02,698,5933,2792,la_llave.temp_min_t,3.1,0.83,0.8,0.89,0.75,0.92
dacc-temp,1,20,5517,normal,tabu,loglik-g,2.916,0.02,NA,3751,NA,junin.temp_min_t,2.16,0.9,0.57,0.93,0.86,0.99
dacc-temp,1,20,5517,normal,tabu,loglik-g,2.916,0.02,NA,3751,NA,tunuyan.temp_min_t,2.83,0.85,0.77,0.89,0.85,0.94
dacc-temp,1,20,5517,normal,tabu,loglik-g,2.916,0.02,NA,3751,NA,agua_amarga.temp_min_t,2.26,0.88,0.61,0.92,0.78,0.97
dacc-temp,1,20,5517,normal,tabu,loglik-g,2.916,0.02,NA,3751,NA,las_paredes.temp_min_t,2.92,0.82,0.64,0.91,0.81,0.97
dacc-temp,1,20,5517,normal,tabu,loglik-g,2.916,0.02,NA,3751,NA,la_llave.temp_min_t,3.1,0.83,0.66,0.89,0.8,0.95
dacc-temp,1,20,5517,smote,tabu,loglik-g,2.218,0.017,390,3315,1560,junin.temp_min_t,2.16,0.9,0.74,0.94,0.77,0.97
dacc,1,35,5517,smote,hc,loglik-g,61.847,0.171,1057,8984,4228,tunuyan.temp_min_t,2.72,0.86,0.82,0.91,0.88,0.95
dacc-temp,1,20,5517,smote,tabu,loglik-g,6.597,0.049,1057,8984,4228,tunuyan.temp_min_t,2.82,0.85,0.83,0.9,0.84,0.93
dacc-temp,1,20,5517,smote,tabu,loglik-g,2.753,0.026,496,4216,1984,agua_amarga.temp_min_t,2.37,0.87,0.69,0.92,0.72,0.95
dacc-temp,1,20,5517,smote,tabu,loglik-g,3.138,0.024,567,4819,2268,las_paredes.temp_min_t,3.02,0.82,0.74,0.9,0.71,0.93
dacc-temp,1,20,5517,smote,tabu,loglik-g,5.328,0.029,698,5933,2792,la_llave.temp_min_t,3.1,0.83,0.79,0.89,0.75,0.92
