"","date-max","X21.HumRel-max","X45.soilMoisture-max","X44.soilMoisture-max","X28.temp-max","X27.temp-max","X25.temp-max","X24.temp-max","X23.temp-max","X22.temp-max","X21.temp-max","X21.HumRel-mean","X45.soilMoisture-mean","X44.soilMoisture-mean","X28.temp-mean","X27.temp-mean","X25.temp-mean","X24.temp-mean","X23.temp-mean","X22.temp-mean","X21.temp-mean","X21.HumRel-min","X45.soilMoisture-min","X44.soilMoisture-min","X28.temp-min","X27.temp-min","X25.temp-min","X24.temp-min","X23.temp-min","X22.temp-min","X21.temp-min"
"11",2011-07-03,91,15.5620268817526,12.353946060499,10.2,10.2,10.19,11.13,10.6,10.13,9.87,74.2151562804459,15.5590839853313,12.3515463371109,1.83010215597619,2.06026796791444,1.8364481967839,1.62687000699861,1.39278350515464,1.19968788637265,1.18014286291711,44,15.5561410889102,12.3491466137227,-4.1,-3.8,-4.12,-4.12,-4.3,-4.69,-4.72
"12",2011-07-04,89,16.5,15.1,12,12.4,12,12.19,12.9,12.88,11.69,74.7272531732073,15.6422280973585,12.9729881152834,2.37754186620079,2.18073482083503,2.17414702249119,1.86025103322453,1.4935405838122,1.24118628564063,1.52305497500898,44.9099455612724,15,11.9,-5.6,-4.9,-6.12,-5.87,-5.7,-6.06,-6.19
"13",2011-07-05,90,16.3,14.5,14.9,14.4,14.88,15.13,15.7,14.75,14.49,75.6868929106736,15.5228233933273,13.540333888396,3.403301379893,3.44273251708424,3.14012688112751,3.12472141154433,2.69896907216495,2.55231190648632,2.55972684058109,43,14.4,12.8,-5,-4.2,-5.5,-5.19,-5.3,-5.69,-5.64
"14",2011-07-06,91,16.7,14,14.4,14.8,15,15.25,15.4,14.5,14.17,76.5104166666667,15.5395833333333,13.033283859677,3.44895833333333,3.38020833333333,3.31510416666667,3.16166666666667,2.61041666666667,2.40625,2.52479166666667,41,14.5,11.9,-4.9,-3.9,-4.56,-4.87,-5.1,-5.31,-5.35
"15",2011-07-07,91,16.5,13.4,17.5,17.9,17.63,17.88,18.4,17.5,17.14,76.7708333333333,15.55625,12.5729166666667,4.846875,5.025,4.7384375,4.54479166666667,4.18541666666667,4.05552083333333,3.99020833333333,43,14,11.7,-4.4,-3.4,-4.19,-4.12,-4.3,-5.06,-4.77
"16",2011-07-08,92,16.4,12.9,19.2,21.8,19.06,18.44,19.2,19.13,19.18,77.4270833333333,15.6177083333333,12.2510416666667,6.82708333333333,7.30208333333333,6.80416666666667,6.44145833333333,6.21979166666667,5.96354166666667,5.97947916666667,43,14.1,11.2,-1.8,-1.5,-2.12,-2,-1.7,-2.37,-2.15
"17",2011-07-09,91,16.6,12.8,21.3,21.7,21,20.38,21.4,20.5,21.39,71.8020833333333,15.6489583333333,12.034375,10.746875,10.9010416666667,10.5083333333333,10.0089583333333,10.165625,9.788125,9.90583333333333,37,14.8,11.1,2.9,3,2.31,2,1.2,1.25,1.47
"18",2011-07-10,90,16.8,12.4,21.1,20.5,20.31,20.5,20.8,20.13,20.51,81.9414186564125,15.9917022933169,11.9683171547114,14.5244488229959,14.3179880079642,14.100815215926,14.1001865051365,14.2865673761397,13.863214980601,13.8915668610893,60,15.3,10.8,11.4,11.3,10.94,10.94,11.4,10.88,10.92
"19",2011-07-11,93,16.8,12.7,21.9,21.5,22.06,21.81,22.5,21.81,21.75,79.6380199501317,15.8750470014086,11.7973588309133,15.0980143298719,14.888668446365,14.7982566842467,14.6641373310133,14.9614774460428,14.5581726140028,14.2786201200625,57,14.6,11.3,10.4,10.3,10.13,9.75,9.4,9.38,9.11
"20",2011-07-12,93,16.9,12.2,22,21.9,22.06,21.31,22.6,21.38,21.35,84.2701189414508,15.8823747209848,11.4680650356436,15.0713591992888,14.9946225478245,14.6591600745174,14.5619650675378,14.6976124912267,14.3882221113115,14.1546625043367,69,15,10.2,7.2,7.8,7,7.06,6.9,6.63,6.81
"21",2011-07-13,93.0161003108387,17.7,12.1,23.1,23,22.81,23,23,22.63,22.86,78.4797863161978,16.4352460215244,11.319471859735,16.3157304909149,16.0733796830282,15.8488016721081,15.8069842958793,15.7023229525469,15.5455329375828,15.308030504162,54,15.5,10.1,9.5,10.7,10,9.44,8.5,8.88,8.49
"22",2011-07-14,93,22.1,17.1,20.1,19.8,19.81,19.81,20.4,19.69,19.74,86.6458333333333,20.0822916666667,15.3963593730926,16.5052083333333,16.2819928786107,16.0764748228978,16.1620833333333,16.668086564537,15.97,16.1301041666667,74,16.1,10.6,12.7,12.5,12.31,12.56,12.9,12.06,12.39
"23",2011-07-15,92,26.3,25.2,27.5,28,26.44,26.13,27.5,26.44,26.82,84.6503687358883,21.7908976816992,19.4581630611649,19.5652679995135,19.1506274148175,19.0817349216311,18.9557886799459,19.6633902766959,18.8762897231044,19.0886809366828,62,18.6,15.6,15.8,15.4,15.44,15.38,15.9,15.38,15.15
"24",2011-07-16,93.0440713352696,28.6,26.4,16.8,15.8,16.94,16.63,16.5,16,16.09,86.5685151183006,24.6224341191906,23.9205362652084,13.1731681971707,12.8095128235663,12.7725480232271,12.9039430630781,13.0749682451382,12.7919515258609,12.6090906120438,76,21.9,22.6,8.3,8.8,7.44,7.81,7.3,7.69,6.73
"25",2011-07-17,92,22.7,23.6,15.8,15.5,15.31,15.44,15.8,15.13,15.73,81.4645492992906,21.4654578418675,22.8410013036105,11.4576321717647,11.1652713954805,10.8638144329897,11.0177273925129,11.3730322677624,10.9470775234173,10.7708193300238,68,20.4,22.3,5.7,6.2,4.75,5.06,4.8,4.56,4.36
"26",2011-07-18,93,22.2,23.3,15.5,15.2,15,15.19,15.6,15,15.11,85.7604166666667,21.1583333333333,22.5010416666667,13.3614583333333,13.0875,12.8711458333333,12.9627083333333,13.4885416666667,12.8866666666667,12.8711458333333,76,20.1,21.8,11.4,11.2,10.88,11.06,11.3,10.94,10.42
"27",2011-07-19,93,22.7,23.6,14,13.6,13.5,13.5,14.1,13.38,13.53,84.2083333333333,21.53125,22.6597201781434,9.865625,9.52413464965992,9.55102105325451,9.55941409355519,9.96299983045003,9.58166666666667,9.370625,76,19.4,21.9,7.7,6.9,7.31,7.06,7.4,7.31,7.05
"28",2011-07-20,84,21,22.6,9.5,9.5,9.63,9.5,10.1,8.81,9.21,78.0825048936761,20.2619500169993,21.9469261411717,7.80877932269287,7.48712218425038,7.35631571049348,7.30278244312875,8.00261920295803,7.32490118801734,7.32771777651423,74,19.5,20.8,5.8,5.7,5.44,5.75,6.1,5.69,5.43
