"","date","junin.temp_max","junin.humedad_max","junin.temp_med","junin.radiacion_med","junin.humedad_med","junin.temp_min","junin.humedad_min","tunuyan.temp_max","tunuyan.humedad_max","tunuyan.temp_med","tunuyan.radiacion_med","tunuyan.humedad_med","tunuyan.temp_min","tunuyan.humedad_min","agua_amarga.temp_max","agua_amarga.humedad_max","agua_amarga.temp_med","agua_amarga.radiacion_med","agua_amarga.humedad_med","agua_amarga.temp_min","agua_amarga.humedad_min","las_paredes.temp_max","las_paredes.humedad_max","las_paredes.temp_med","las_paredes.radiacion_med","las_paredes.humedad_med","las_paredes.temp_min","las_paredes.humedad_min","la_llave.temp_max","la_llave.humedad_max","la_llave.temp_med","la_llave.radiacion_med","la_llave.humedad_med","la_llave.temp_min","la_llave.humedad_min"
"2009-05-02",2009-05-02,28.33,96,17.5208333333333,167,64.125,9.75,31,28.1,91,13.4958333333333,1,66.9166666666667,3.06,27,27.12,57,18.3344827586207,262.103448275862,41.8103448275862,6.54,28,29.75,70,19.5541666666667,1.83333333333333,46.4583333333333,8.31,32,30.44,69,18.95,1,47.75,9.39,29
"2009-05-03",2009-05-03,27.76,94,16.9291666666667,149.791666666667,66.125,8.75,26,26.32,91,13.5958333333333,1,65.875,3.72,23,25.16,61,16.15,176.375,47.75,7.57,32,25.11,67,19.275,1.5,45.4583333333333,11.24,24,28.64,58,20.012,1,40.72,12.83,19
"2009-05-04",2009-05-04,19.93,82,14.6708333333333,133.625,40.625,5.16,25,18.38,80,12.2208333333333,1,45.6666666666667,2.29,16,17.71,51,12.8666666666667,170.125,33.6666666666667,5.83,24,19.67,58,13.6333333333333,1.83333333333333,35.0416666666667,2.75,20,21.27,53,14.9916666666667,1,26.75,4.95,13
"2009-05-05",2009-05-05,24.57,87,11.5375,160.916666666667,52.3333333333333,3.42,13,25.7,88,9.62083333333333,1,50.7083333333333,-0.94,9,23.92,50,11.7333333333333,181.125,25.25,2.62,9,24.23,43,12.2208333333333,1.79166666666667,28.9583333333333,2.03,11,25.34,53,12.7333333333333,1,30.3333333333333,2.62,11
"2009-05-06",2009-05-06,22.53,90,9.99583333333333,107.875,51.125,1.24,17,22.76,83,6.5375,1,53.9166666666667,-2.65,10,19.93,30,10.2583333333333,102.166666666667,21.5,3.08,13,22.2,35,11.2958333333333,1.25,24.5833333333333,3.03,17,23.59,59,9.8875,1,34.25,-1.14,13
"2009-05-07",2009-05-07,24.93,75,12.2375,160.166666666667,45.7083333333333,4.52,18,27.48,85,9.20833333333333,1,50.125,-2.52,9,25.68,40,12.3208333333333,180.708333333333,26.5833333333333,2,12,26.11,37,14.2541666666667,1.79166666666667,24.4583333333333,2.08,16,26.83,37,14.9125,1,22.25,3.7,12
"2009-05-08",2009-05-08,24,75,13.2375,138.625,39.5833333333333,5.36,19,23.97,84,9.175,1,51.875,-1.4,11,22.84,39,12.4083333333333,171.541666666667,27.5,3.95,16,25.75,31,14.2333333333333,1.58333333333333,24.4166666666667,4.88,18,25.65,46,13.4333333333333,1,26.5833333333333,1.93,14
"2009-05-09",2009-05-09,25,76,14.3,147.166666666667,49.3333333333333,6.11,27,27.48,84,10.5,1,52.75,-0.84,10,26.16,40,14.2041666666667,177.458333333333,29.5,5.39,15,27.94,57,16.35,1.79166666666667,35.5833333333333,7.11,23,28.64,57,15.95,1,40.4583333333333,6.18,27
"2009-05-10",2009-05-10,23.18,96,13.9875,130.25,64.9583333333333,8.24,43,26.19,84,11.85,1,62.0833333333333,1.72,30,23.64,56,14.1583333333333,157.958333333333,39.5,7.13,27,22.81,62,12.975,1.58333333333333,49.4583333333333,5.47,39,24.57,71,13.6333333333333,1,46.7916666666667,3.44,33
"2009-05-11",2009-05-11,12.42,99,10.0166666666667,17.9166666666667,86.7916666666667,8.31,79,12.34,90,8.89047619047619,1,84.8333333333333,4.49,63,12.54,83,9.5375,38.1666666666667,68.8333333333333,6.03,56,12.59,88,8.25,1,79.2916666666667,5.85,61,13.42,84,9.12083333333333,1,71.9166666666667,6.88,59
"2009-05-12",2009-05-12,9.77,98,8.33333333333333,25.3333333333333,93.2916666666667,7.36,89,14.67,73,9.98333333333333,1,68.0833333333333,8.75,55,12.75,82,8.8625,81.875,70.7916666666667,6.72,58,7.77,92,6.60416666666667,1,89.75,5.52,88,8.59,88,7.35833333333333,1,86.7916666666667,6.57,84
"2009-05-13",2009-05-13,11,99,8.4375,41.3333333333333,90,7.08,77,10.75,74,6.4,1,48.6666666666667,0,72,7.83,87,6.42340425531915,11.8936170212766,84.6170212765958,5.72,80,7.11,92,6.36086956521739,1,90.3913043478261,5.36,86,8.29,90,7.49166666666667,1,85.2916666666667,6.31,76
"2009-05-14",2009-05-14,12.59,99,5.625,90.2083333333333,87.3333333333333,0.24,59,8.88,87,8.1,1,77,5.13,73,5.98,87,4.65416666666667,27.125,81.875,3.29,73,5.44,92,4.49090909090909,1,91.7272727272727,4.29,89,13.29,90,6.34583333333333,1,71.7916666666667,-0.61,48
"2009-05-15",2009-05-15,18.02,99,7.53333333333333,141.5,81.1666666666667,0.16,44,16.47,87,6.87037037037037,1,74.6296296296296,0,44,16.11,87,6.84166666666667,168.666666666667,71.7083333333333,-0.96,44,15.9344257903151,59.837016194313,8.5346392987684,-3.8993215569425,57.6881782761935,5.28912502229984,42.4388507439463,20.42,87,9.69583333333333,1,62.375,-0.79,37
"2009-05-16",2009-05-16,18.05,99,9.16666666666667,122.791666666667,78.1666666666667,1.13,49,29.08,89,10.916,1,61.38,-0.56,9,27.97,85,12.0583333333333,155.166666666667,57.25,1.98,9,23.1856345439285,65.9442097673618,14.7132585559108,29.673805589736,50.4427345899933,7.88668084943588,34.0206601121889,23.23,65,14.1708333333333,1,51.7916666666667,9.34,34
"2009-05-17",2009-05-17,17.79,99,10.6125,78,66.6666666666667,4.26,33,26.45,65,14.6111111111111,1,41.1111111111111,10.54,9,26.83,70,15.6189655172414,44.4137931034483,37.7413793103448,7.54,9.5,14.7455911180623,56.2553753991426,11.1695878384302,-101.82500417493,45.5809385150698,7.72187283540024,28.8720214368607,17.3,68,11.775,1,49.9583333333333,5.59,31
"2009-05-18",2009-05-18,19.36,76,9.46666666666667,140.25,47,2.18,16,19.44,87,7.29666666666667,1,60.6666666666667,0,21,16.83,72,9.4375,162.041666666667,48.125,3.77,34,15.1362761700817,69.704305826237,5.54899758849092,-35.3842797918181,51.9072026726679,-0.744908079727376,35.6621280127044,18.79,73,8.07916666666667,1,45,-0.91,17
"2009-05-19",2009-05-19,19.98,89,8.90833333333333,139.375,57.875,-0.17,30,20.57,84,6.49583333333333,1,56.0833333333333,-3.01,19,18.82,68,8.625,168.333333333333,49.5833333333333,1.36,29,19.9563882373087,49.0528364338837,11.0615818634479,-78.1672247180286,41.8182324731614,3.03065481924581,34.5137630870482,22.14,60,11.025,1,41.9166666666667,0.11,29
"2009-05-20",2009-05-20,21.68,91,10.5416666666667,120.041666666667,62.8333333333333,3.29,33,23.56,85,7.26666666666667,1,58.5833333333333,-2.7,12,22.79,62,10.3291666666667,141.166666666667,40.8333333333333,1.75,19,24.409619640916,59.3988889684655,10.9147823145632,5.2671283684744,45.0284815777486,1.36395477063257,28.9408219138941,24.54,77,10.8416666666667,1,49.9583333333333,-0.71,27
