dataset,var,config.train,config.vars,T,alg,t_run_s,FAR,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,ROC,Sens,Spec
dacc,junin.temp_min,smote,all,1,rf,444.755,0.33,0.9280860702,0.7062580055,0.915027891,0.9396991028,0.8742921857,1.58E-13,2.65E-07,0.8468468468,0.9397668394,0.6690391459,0.9771043771,0.6690391459,0.8468468468,0.7475149105,0.1257078143,0.1064552661,0.1591166478,0.8933068431,0.9976971902,1,0.9586432609
dacc,junin.temp_min,smote,local,4,C5.0,49.183,0.4,0.9065155807,0.6143251601,0.8919670243,0.9196955667,0.8742209632,1.261687462E-05,5.161424525E-05,0.7477477477,0.9293583927,0.6036363636,0.9624161074,0.6036363636,0.7477477477,0.6680080483,0.1257790368,0.0940509915,0.1558073654,0.8385530702,0.976185678,0.9666666667,0.9481988687
dacc,junin.temp_min,smote,all,1,C5.0,50.553,0.41,0.9026047565,0.6096114004,0.8878168723,0.916038659,0.8742921857,0.0001215876,1.43E-07,0.7702702703,0.9216321244,0.5856164384,0.9654002714,0.5856164384,0.7702702703,0.6653696498,0.1257078143,0.0968289921,0.1653454134,0.8459511973,0.982993462,0.9846153846,0.9413864921
dacc,las_paredes.temp_min,smote,all,1,rf,3210.965,0.27,0.9065685164,0.6929653568,0.8920277055,0.9197413541,0.8182332956,1.54E-25,0.161,0.7725856698,0.9363321799,0.7294117647,0.9488078541,0.7294117647,0.7725856698,0.7503782148,0.1817667044,0.1404303511,0.1925254813,0.8544589249,0.9981197323,1,0.9698492462
dacc,agua_amarga.temp_min,smote,all,2,glm,107.344,0.33,0.9167610419,0.6962873876,0.9028905276,0.9292273194,0.855605889,3.1E-15,5.22E-08,0.8431372549,0.9291859696,0.6677018634,0.972299169,0.6677018634,0.8431372549,0.7452339688,0.144394111,0.1217440544,0.1823329558,0.8861616122,0.9784985477,0.9254032258,0.9296250768
dacc,las_paredes.temp_min,normal,all,1,rpart,47.183,0.18,0.8958097395,0.5981131562,0.8806143414,0.9096750209,0.8182332956,1.12E-19,9.89E-15,0.5482866044,0.9730103806,0.8186046512,0.9065119278,0.8186046512,0.5482866044,0.6567164179,0.1817667044,0.0996602492,0.1217440544,0.7606484925,0.9186865212,0.7001763668,0.9670226131
dacc,las_paredes.temp_min,smote,all,2,rf,7949.025,0.28,0.9031710079,0.6825523971,0.8884179836,0.9165680551,0.8182332956,1.4E-23,0.1261558422,0.7663551402,0.9335640138,0.7192982456,0.9473314607,0.7192982456,0.7663551402,0.742081448,0.1817667044,0.1392978482,0.1936579841,0.849959577,0.9988990232,1,0.9632422243
dacc,las_paredes.temp_min,normal,local,1,glm,24.628,0.14,0.8980747452,0.5967596668,0.8830130181,0.9117984163,0.8182332956,7.86E-21,4.82E-20,0.5264797508,0.9806228374,0.8578680203,0.9031230083,0.8578680203,0.5264797508,0.6525096525,0.1817667044,0.09569648924,0.1115515289,0.7535512941,0.9540820283,0.6437389771,0.9638819095
dacc,junin.temp_min,normal,local,1,C5.0,22.93,0.2,0.926387316,0.6128473042,0.9132022247,0.9381334474,0.8742921857,0,1.43324901E-09,0.5495495495,0.9805699482,0.8026315789,0.9380421314,0.8026315789,0.5495495495,0.6524064171,0.1257078143,0.06908267271,0.08607021518,0.7650597489,0.9277595954,0.7564102564,0.9767926212
dacc,la_llave.temp_min,normal,all,2,C5.0,181.369,0.25,0.862400906,0.5673828932,0.8454492601,0.8781381642,0.7774631937,8.83E-20,1.65E-08,0.5776081425,0.9439184268,0.7467105263,0.8864569083,0.7467105263,0.5776081425,0.6513629842,0.2225368063,0.1285390713,0.1721404304,0.7607632846,0.9264346363,0.670487106,0.9718217562
dacc,las_paredes.temp_min,normal,all,2,rpart,22.011,0.19,0.8935447339,0.5882316464,0.8782177486,0.9075495269,0.8182332956,1.44E-18,6.01E-15,0.53894081,0.9723183391,0.8122065728,0.9047005795,0.8122065728,0.53894081,0.6479400749,0.1817667044,0.0979614949,0.1206115515,0.7556295745,0.9183936266,0.6984126984,0.9673264216
dacc,agua_amarga.temp_min,smote,all,1,rpart,61.174,0.34,0.9156285391,0.6921552432,0.9016808944,0.9281759991,0.855605889,1.07E-14,6.41E-08,0.8392156863,0.9285241562,0.6645962733,0.9716066482,0.6645962733,0.8392156863,0.7417677643,0.144394111,0.1211778029,0.1823329558,0.8838699212,0.9336904143,0.9032258065,0.9222734255
dacc,las_paredes.temp_min,normal,local,1,C5.0,70.102,0.16,0.8941109853,0.580479935,0.8788167047,0.9080810939,0.8182332956,7.66E-19,1.21E-19,0.5140186916,0.9785467128,0.8418367347,0.9006369427,0.8418367347,0.5140186916,0.6382978723,0.1817667044,0.09343148358,0.1109852775,0.7462827022,0.9136943536,0.5996472663,0.9773869347
dacc,la_llave.temp_min,normal,all,1,rpart,38.224,0.18,0.8674971687,0.5603871415,0.8507901127,0.8829723178,0.7774631937,3.64E-22,3.04E-20,0.5216284987,0.9664967225,0.8167330677,0.8759075908,0.8167330677,0.5216284987,0.6366459627,0.2225368063,0.1160815402,0.1421291053,0.7440626106,0.8994595949,0.5372492837,0.9613494923
dacc,la_llave.temp_min,normal,all,2,rpart,40.515,0.18,0.8674971687,0.5603871415,0.8507901127,0.8829723178,0.7774631937,3.64E-22,3.04E-20,0.5216284987,0.9664967225,0.8167330677,0.8759075908,0.8167330677,0.5216284987,0.6366459627,0.2225368063,0.1160815402,0.1421291053,0.7440626106,0.8994419085,0.5372492837,0.9613368283
dacc,junin.temp_min,normal,all,1,rpart,26.161,0.26,0.919592299,0.5916749709,0.9059177175,0.9318524851,0.8742921857,7.42E-10,8.681E-06,0.5585585586,0.9715025907,0.7380952381,0.9386733417,0.7380952381,0.5585585586,0.6358974359,0.1257078143,0.0702151755,0.0951302378,0.7650305746,0.9859329107,0.8564102564,0.9854210057
dacc,junin.temp_min,normal,local,2,rpart,16.277,0.2,0.9240793201,0.5954991996,0.9107207168,0.9360065171,0.8742209632,0,0,0.527027027,0.9812054439,0.801369863,0.9351451513,0.801369863,0.527027027,0.6358695652,0.1257790368,0.06628895184,0.08271954674,0.7541162355,0.9315226601,0.7692307692,0.9824352486
dacc,agua_amarga.temp_min,smote,all,2,rf,5975.338,0.29,0.9269535674,0.7237338986,0.9138105692,0.9386555457,0.855605889,1.17E-20,0.0002173957947,0.831372549,0.9430840503,0.711409396,0.9707084469,0.711409396,0.831372549,0.7667269439,0.144394111,0.1200453001,0.1687429219,0.8872282997,0.9984916207,1,0.9668100799
dacc,junin.temp_min,normal,local,2,C5.0,31.033,0.21,0.9229898075,0.5913344722,0.9095564501,0.9349965218,0.8742921857,0,3.857228274E-10,0.527027027,0.9799222798,0.7905405405,0.935105068,0.7905405405,0.527027027,0.6324324324,0.1257078143,0.06625141563,0.08380520951,0.7534746534,0.926944826,0.741025641,0.9764880952
